City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Kaitangata,NZ,2022-04-30 20:14:15,-46.2817,169.8464,50.32,84,100,5.82
274,Mount Pleasant,US,2022-04-30 20:10:45,32.7941,-79.8626,81.18,52,0,12.66
275,Bahia Blanca,AR,2022-04-30 20:15:16,-38.7196,-62.2724,60.53,38,2,10.98
276,Straumen,NO,2022-04-30 20:15:16,63.8709,11.2999,41.0,84,58,6.46
277,Aktash,RU,2022-04-30 20:15:16,50.3,87.7333,36.03,38,100,4.59
278,Kez,RU,2022-04-30 20:15:17,57.8979,53.7152,33.94,77,97,4.88
279,San Patricio,US,2022-04-30 20:15:17,28.017,-97.5169,86.09,62,95,16.4
280,Bathsheba,BB,2022-04-30 20:15:18,13.2167,-59.5167,84.81,74,20,14.97
281,Palasa,IN,2022-04-30 20:15:18,18.7667,84.4167,78.87,95,51,9.51
282,Asfi,MA,2022-04-30 20:15:19,32.2994,-9.2372,64.42,77,100,12.17
283,Batesville,US,2022-04-30 20:12:36,35.7698,-91.641,78.44,78,100,9.22
284,Tadine,NC,2022-04-30 20:15:19,-21.55,167.8833,75.18,86,100,16.53
285,Fenoarivo,MG,2022-04-30 20:15:19,-18.933,47.4354,62.67,82,20,3.44
286,Riyadh,SA,2022-04-30 20:15:20,24.6877,46.7219,75.34,24,0,7.61
287,Novorzhev,RU,2022-04-30 20:15:20,57.0294,29.3338,35.2,61,40,1.81
288,Ewo,CG,2022-04-30 20:15:21,-0.8725,14.8206,77.58,73,87,4.12
289,Floro,NO,2022-04-30 20:15:21,61.5996,5.0328,44.56,81,100,8.05
290,West Wendover,US,2022-04-30 20:15:22,40.7391,-114.0733,60.01,20,0,5.75
291,Rio Verde De Mato Grosso,BR,2022-04-30 20:15:22,-18.9181,-54.8442,87.19,37,91,3.85
292,Geraldton,AU,2022-04-30 20:06:01,-28.7667,114.6,54.01,76,0,10.36
