City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
262,Batagay-Alyta,RU,67.8006,130.4114,19.24,92,100,12.5,light snow
263,Udachnyy,RU,66.4167,112.4,30.45,42,55,15.59,broken clouds
264,Mantua,IT,45.1667,10.7833,52.99,85,42,3.0,scattered clouds
265,Zhumadian,CN,32.9794,114.0294,76.05,29,0,7.78,clear sky
266,Pangai,TO,-19.8,-174.35,81.73,81,93,13.53,overcast clouds
267,Cape Town,ZA,-33.9258,18.4232,60.12,78,100,4.0,overcast clouds
268,Scottsbluff,US,41.8666,-103.6672,54.28,45,20,18.41,few clouds
269,Hobart,AU,-42.8794,147.3294,69.26,54,75,20.71,broken clouds
270,Kotaparh,IN,19.15,82.35,90.5,32,75,9.1,broken clouds
271,Beppu,JP,33.2736,131.4919,69.48,32,68,9.08,broken clouds
272,Coihaique,CL,-45.5752,-72.0662,42.75,93,0,5.75,clear sky
273,Bara,NG,10.3744,10.7288,84.27,48,63,8.52,broken clouds
274,Searcy,US,35.2506,-91.7363,66.15,77,0,0.0,clear sky
275,Makinsk,KZ,52.6292,70.4169,47.28,71,43,11.65,scattered clouds
276,Meulaboh,ID,4.1363,96.1285,82.22,75,100,1.72,overcast clouds
277,Xining,CN,36.6167,101.7667,45.14,40,0,3.8,clear sky
278,Red Bluff,US,40.1785,-122.2358,74.08,21,0,3.44,clear sky
279,Suriapet,IN,17.15,79.6167,91.47,52,51,11.39,broken clouds
280,Labuhan,ID,-6.8844,112.2051,85.35,75,92,7.85,overcast clouds
281,North Bend,US,43.4065,-124.2243,54.25,89,40,9.22,light rain
282,Aitape,PG,-3.1374,142.3475,83.1,77,71,3.74,broken clouds
283,Stabat,ID,3.761,98.4513,86.2,63,85,2.13,overcast clouds
284,Oktyabrskiy,RU,54.4815,53.471,38.91,51,5,4.79,clear sky
285,Dehloran,IR,32.6941,47.2679,74.59,41,0,4.76,clear sky
286,Awbari,LY,26.5921,12.7805,60.28,54,0,14.2,clear sky
287,Geraldton,AU,-28.7667,114.6,73.81,40,0,8.05,clear sky
288,Rocha,UY,-34.4833,-54.3333,55.47,61,99,8.75,overcast clouds
289,Tecoanapa,MX,16.5167,-98.75,80.6,66,100,5.01,overcast clouds
290,Lodja,CD,-3.4833,23.4333,64.22,99,92,1.68,overcast clouds
291,Key Largo,US,25.0865,-80.4473,78.01,62,13,16.2,few clouds
292,Mount Pleasant,US,32.7941,-79.8626,73.0,85,75,6.91,broken clouds
293,Nishihara,JP,26.1842,127.7558,66.25,85,100,11.5,mist
294,Yulara,AU,-25.2406,130.9889,69.89,37,97,7.99,overcast clouds
295,Tauberbischofsheim,DE,49.6247,9.6628,49.71,75,20,4.25,few clouds
296,Siverskiy,RU,59.3544,30.0783,34.3,96,61,5.99,broken clouds
297,Nuuk,GL,64.1835,-51.7216,29.01,86,75,8.05,broken clouds
298,Micheweni,TZ,-4.9667,39.8333,78.13,82,42,14.07,light rain
299,Jardim De Piranhas,BR,-6.3786,-37.3519,75.81,78,62,8.39,broken clouds
300,Gambo,CF,4.6482,22.2633,68.97,99,100,1.61,overcast clouds
301,Shahrud,IR,36.4182,54.9763,55.11,71,88,4.99,overcast clouds
302,Luderitz,NA,-26.6481,15.1594,71.74,28,0,10.76,clear sky
303,Torit,SS,4.4133,32.5678,69.08,90,48,3.36,scattered clouds
304,Cherskiy,RU,68.75,161.3,30.72,89,55,8.75,broken clouds
305,Payo,ID,-3.7508,103.6372,87.4,61,99,1.52,overcast clouds
306,Vao,NC,-22.6667,167.4833,75.2,87,25,19.28,scattered clouds
307,Kantunilkin,MX,21.0917,-87.45,72.48,90,4,3.53,clear sky
308,Maceio,BR,-9.6658,-35.7353,74.64,94,0,2.3,clear sky
309,Asau,RO,46.4333,26.4,38.32,72,99,1.74,overcast clouds
310,Brae,GB,60.3964,-1.353,46.83,88,100,13.6,overcast clouds
311,Saint-Jerome,CA,45.7804,-74.0036,55.22,74,61,13.6,broken clouds
312,Kananga,CD,-5.8958,22.4178,67.12,96,100,2.68,overcast clouds
313,Namie,JP,37.4833,141.0,62.71,61,49,8.5,scattered clouds
314,Westerland,DE,54.9079,8.3033,37.42,87,26,3.44,scattered clouds
315,Beyneu,KZ,45.3167,55.2,59.79,46,0,17.34,clear sky
316,Staunton,US,38.1496,-79.0717,61.29,90,0,6.91,clear sky
317,Constantine,DZ,36.365,6.6147,49.41,87,0,5.75,clear sky
318,Baoning,CN,25.3378,110.026,71.46,37,0,6.71,clear sky
319,Mehamn,NO,71.0357,27.8492,26.55,74,75,3.44,broken clouds
320,Abu Kamal,SY,34.4506,40.9171,65.89,64,0,17.45,clear sky
321,Maymyo,MM,22.0333,96.4667,83.37,47,2,2.98,clear sky
322,Excelsior Springs,US,39.3392,-94.2261,63.37,63,40,0.0,scattered clouds
323,Mount Isa,AU,-20.7333,139.5,83.97,39,75,9.22,broken clouds
324,Saint-Augustin,CA,51.226,-58.6502,32.43,86,100,19.93,light snow
325,Sao Filipe,CV,14.8961,-24.4956,72.95,74,1,7.99,clear sky
326,Yaring,TH,6.8662,101.3689,82.29,67,100,6.15,overcast clouds
327,Marawi,PH,7.9986,124.2928,82.13,67,80,3.13,broken clouds
328,Barranca,PE,-10.75,-77.7667,64.85,85,87,4.29,overcast clouds
329,Uray,RU,60.1247,64.7758,33.17,75,100,15.79,overcast clouds
330,Shu,KZ,43.5983,73.7614,72.28,46,82,3.22,broken clouds
331,Cayenne,GF,4.9333,-52.3333,81.09,1,73,4.0,broken clouds
332,Kieta,PG,-6.2167,155.6333,83.97,75,100,4.5,light rain
333,Bangkalan,ID,-7.0455,112.7351,87.75,70,38,7.72,scattered clouds
334,Kantang,TH,7.4054,99.5156,89.69,70,20,2.3,few clouds
335,Tallahassee,US,30.4383,-84.2807,69.33,95,20,4.61,few clouds
336,Bilibino,RU,68.0546,166.4372,26.91,66,67,3.02,broken clouds
337,Tessalit,ML,20.1986,1.0114,72.18,20,0,8.57,clear sky
338,Ardatov,RU,55.2421,43.097,36.27,74,30,7.47,scattered clouds
339,Mahibadhoo,MV,3.7833,72.9667,84.96,75,99,19.28,overcast clouds
340,Lima,PE,-12.0432,-77.0282,66.9,76,0,8.05,clear sky
341,Moree,AU,-29.4667,149.85,78.82,34,75,5.75,broken clouds
342,Berdigestyakh,RU,62.0989,126.6992,25.07,91,100,14.36,light snow
343,Lasa,IT,46.6166,10.7002,43.36,90,43,3.4,scattered clouds
344,Camacha,PT,33.0833,-16.3333,60.22,67,40,12.66,scattered clouds
